planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
11 Com b,2,1,Radial Velocity,2007,326.03,6165.6,4742,2.7,2.243,93.1846
11 UMi b,1,1,Radial Velocity,2009,516.21997,4684.8142,4213,2.78,2.43,125.321
14 And b,1,1,Radial Velocity,2008,185.84,1525.5,4813,2.2,1.763,75.4392
14 Her b,1,2,Radial Velocity,2002,1773.40002,1481.0878,5338,0.9,-0.153,17.9323
16 Cyg B b,3,1,Radial Velocity,1996,798.5,565.7374,5750,1.08,0.097,21.1397
18 Del b,2,1,Radial Velocity,2008,993.3,3273.5,4979,2.3,1.602,76.222
1RXS J160929.1-210524 b,1,1,Imaging,2008,,3000,4060,0.85,-0.37,139.135
24 Boo b,1,1,Radial Velocity,2018,30.3506,289.2253,4893,0.99,1.774,95.9863
24 Sex b,1,2,Radial Velocity,2010,452.8,632.46,5098,1.54,1.164,72.0691
24 Sex c,1,2,Radial Velocity,2010,883,273.32,5098,1.54,1.164,72.0691
2MASS J01033563-5515561 AB b,2,1,Imaging,2013,,4131.79,,0.19,,47.2
2MASS J01225093-2439505 b,1,1,Imaging,2013,,7786.5,3530,0.4,-1.72,33.8281
2MASS J02192210-3925225 b,1,1,Imaging,2015,,4417.837,3064,0.11,-2.23,40.0896412
2MASS J04414489+2301513 b,1,1,Imaging,2010,,2383.6,2936,0.02,-2.444,120.423987
2MASS J12073346-3932539 b,1,1,Imaging,2004,,1589.15,2825,0.02,-2.561,64.308
2MASS J19383260+4603591 b,2,1,Eclipse Timing Variations,2015,416,603.877,10868,0.48,0.168,396.332
2MASS J21402931+1625183 A b,1,1,Imaging,2009,7336.5,6657.48,2300,0.08,-3.48,33.1156898
2MASS J22362452+4751425 b,1,1,Imaging,2016,,3972.875,4045,0.6,-1.021,69.5737
30 Ari B b,4,1,Radial Velocity,2009,335.10001,4392.4106,6331,1.93,0.381,44.657
4 UMa b,1,1,Radial Velocity,2006,269.3,2256.5,4415,1.23,2.062,73.4603
42 Dra b,2,1,Radial Velocity,2008,479.1,1233.13,4200,0.98,2.155,90.6545
47 UMa b,1,3,Radial Velocity,1996,1078,804.08,5872,1.06,0.198,13.7967
47 UMa c,1,3,Radial Velocity,2001,2391,171.621,5872,1.06,0.198,13.7967
47 UMa d,1,3,Radial Velocity,2009,14002,521.22,5872,1.06,0.198,13.7967
51 Eri b,3,1,Imaging,2015,11688,635.66,7295,1.65,0.752,29.7575
51 Peg b,1,1,Radial Velocity,1995,4.230785,146.2018,5758,1.03,0.136,15.4614
55 Cnc b,2,5,Radial Velocity,1996,14.6516,263.9785,5172,0.91,-0.197,12.5855
55 Cnc c,2,5,Radial Velocity,2004,44.3989,54.4738,5172,0.91,-0.197,12.5855
55 Cnc d,2,5,Radial Velocity,2002,5574.2,1232.493,5172,0.91,-0.197,12.5855
55 Cnc e,2,5,Radial Velocity,2004,0.7365474,7.99,5172,0.91,-0.197,12.5855
55 Cnc f,2,5,Radial Velocity,2007,259.88,44.812,5172,0.91,-0.197,12.5855
6 Lyn b,1,1,Radial Velocity,2008,934.3,638.8383,4938,1.44,1.176,54.6599
61 Vir b,1,3,Radial Velocity,2009,4.215,5.1,5577,0.94,-0.095,8.50332
61 Vir c,1,3,Radial Velocity,2009,38.021,18.2,5577,0.94,-0.095,8.50332
61 Vir d,1,3,Radial Velocity,2009,123.01,22.9,5577,0.94,-0.095,8.50332
7 CMa b,1,2,Radial Velocity,2011,735.1,587.9855,4826,1.34,1.063,19.8101
7 CMa c,1,2,Radial Velocity,2019,996,276.5121,4826,1.34,1.063,19.8101
70 Vir b,1,1,Radial Velocity,1996,116.688,2380.45,5495,1.09,0.451,17.9011
75 Cet b,2,1,Radial Velocity,2012,691.9,953.49,4846,2.49,1.73,82.9613
8 UMi b,1,1,Radial Velocity,2015,93.4,416.3573,4847,1.44,1.725,162.552
81 Cet b,1,1,Radial Velocity,2008,952.7,1684.4,4785,2.4,1.778,101.26
91 Aqr b,3,1,Radial Velocity,2013,181.4,1017,4665,1.4,1.692,44.0304
AB Pic b,1,1,Imaging,2005,,4290.5,5285,0.9,-0.226,50.0475
AU Mic b,1,2,Transit,2020,8.463,17,3700,0.5,-1.046,9.7221
AU Mic c,1,2,Transit,2021,18.859019,13.6,3700,0.5,-1.065,9.7221
BD+03 2562 b,1,1,Radial Velocity,2017,481.9,2034.112,4095,1.14,2.7,1070.63
BD+14 4559 b,1,1,Radial Velocity,2009,268.94,330.5432,4864,0.49,-0.32,49.352
BD+15 2375 b,1,1,Radial Velocity,2016,153.22,337.21763,4649,1.08,1.57,768.045
BD+15 2940 b,1,1,Radial Velocity,2013,137.48,352.78,4796,1.1,2.01,426.42
BD+20 2457 b,1,2,Radial Velocity,2009,379.63,17668.1697,4259,10.83,3.17,1539.71
BD+20 2457 c,1,2,Radial Velocity,2009,621.99,3963.17,4137,2.8,3.17,1539.71
BD+20 274 b,1,1,Radial Velocity,2012,578.2,1334.886,4296,0.8,1.96,1322.51
BD+20 594 b,1,1,Transit,2016,41.6855,22.2481,5766,1.67,-0.056,179.461
BD+45 564 b,1,1,Radial Velocity,2021,307.88,432.24663,5004,0.81,-0.399,53.622
BD+48 738 b,1,1,Radial Velocity,2011,392.6,289.2253,4414,0.74,1.69,871.493
BD+48 740 b,1,1,Radial Velocity,2018,733,540.311,4534,1.09,1.64,666.589
BD+49 828 b,1,1,Radial Velocity,2015,2590,508.5,4943,1.52,1.47,442.042
BD+55 362 b,1,1,Radial Velocity,2021,265.59,228.83645,5012,0.91,-0.313,52.5697
BD+63 1405 b,1,1,Radial Velocity,2021,1198.48,1258.60049,5000,0.82,-0.413,38.0473
BD-00 4475 b,1,1,Radial Velocity,2021,723.2,7961.6016,5040,0.81,-0.35,42.6402
BD-06 1339 b,1,2,Radial Velocity,2013,3.8728,8.5,4324,0.7,-1.022,20.2695
BD-06 1339 c,1,2,Radial Velocity,2013,125.94,53,4324,0.7,-1.022,20.2695
BD-08 2823 b,1,2,Radial Velocity,2009,5.6,12.7132,4816,0.5,-0.626,41.3342
BD-08 2823 c,1,2,Radial Velocity,2009,237.6,104,4746,0.74,-0.626,41.3342
BD-10 3166 b,1,1,Radial Velocity,2000,3.48777,187.5197,5393,1.47,-0.191,84.4069
BD-11 4672 b,1,2,Radial Velocity,2014,1634,206.5895,4550,0.65,-0.804,27.1665
BD-11 4672 c,1,2,Radial Velocity,2020,74.2,15.37,4550,0.65,-0.804,27.1665
BD-13 2130 b,1,1,Radial Velocity,2007,714.29999,3108.3774,4545,2.12,2.043,925.214
BD-17 63 b,1,1,Radial Velocity,2008,655.6,1620.9,4714,0.74,-0.678,34.4603
CFBDSIR J145829+101343 b,1,1,Imaging,2011,10037.5,3337.1,580.5,0.02,,23.1
CFHTWIR-Oph 98 b,1,1,Imaging,2021,8040000,2479.06157,2320,0.01,-2.85,
CHXR 73 b,1,1,Imaging,2006,,3994.486,3099,0.35,,190.374
CI Tau b,1,1,Radial Velocity,2019,8.9891,3686.828,3807,0.9,-0.108,157.998
COCONUTS-2 b,1,1,Imaging,2021,402000000,2002.31896,3406,0.37,-1.732,10.8864
CT Cha b,1,1,Imaging,2007,,5403,4403,,-0.102,190.72
CoRoT-1 b,1,1,Transit,2008,1.5089557,327.35,5950,0.95,0.298,787.909
CoRoT-10 b,1,1,Transit,2010,13.2406,874,5075,0.89,-0.726,338.386
CoRoT-11 b,1,1,Transit,2010,2.99433,740.51,6440,1.27,0.378,655.037
CoRoT-12 b,1,1,Transit,2010,2.828042,291.438,5675,1.08,0.07,1126.37
CoRoT-13 b,1,1,Transit,2010,4.03519,415.704,5945,1.09,0.073,1148.93
CoRoT-14 b,1,1,Transit,2010,1.51214,2415.4,6035,1.13,0.119,1744.6
CoRoT-16 b,1,1,Transit,2011,5.35227,170.032,5650,1.1,-0.435,732.409
CoRoT-17 b,1,1,Transit,2011,3.7681,772.29,5740,1.04,0.134,1176.12
CoRoT-18 b,1,1,Transit,2011,1.9000693,1102.82,5440,0.95,-0.17,764.889
CoRoT-19 b,1,1,Transit,2011,3.89713,352.78,6090,1.21,0.544,790.663
CoRoT-2 b,2,1,Transit,2008,1.7429935,1102.82,5625,0.96,-0.131,213.283
